user,item,rating
0,12,5.0
0,13,5.0
0,37,5.0
0,174,5.0
0,253,5.0
1,487,5.0
1,915,5.0
1,922,5.0
1,1011,5.0
1,1015,5.0
1,1038,5.0
2,784,5.0
2,791,5.0
2,927,5.0
2,941,5.0
2,1124,5.0
3,355,4.0
3,415,5.0
3,567,5.0
3,604,5.0
3,792,5.0
3,828,5.0
3,877,5.0
3,972,4.0
3,975,5.0
3,976,5.0
3,1028,5.0
3,1085,5.0
3,1100,5.0
4,424,5.0
4,918,5.0
4,928,4.0
4,946,5.0
4,986,4.0
4,1038,4.0
4,1058,5.0
5,551,4.0
5,952,5.0
5,953,5.0
5,999,3.0
5,1058,3.0
5,1072,5.0
5,1128,5.0
6,682,5.0
6,714,5.0
6,843,5.0
6,928,5.0
6,931,5.0
6,1061,5.0
7,254,1.0
7,857,5.0
7,941,5.0
7,1058,3.0
7,1124,5.0
7,1148,3.0
8,113,5.0
8,125,5.0
8,132,5.0
8,133,5.0
8,229,4.0
9,302,4.0
9,318,4.0
9,319,4.0
9,320,4.0
9,328,4.0
9,425,2.0
9,431,3.0
9,449,4.0
9,679,2.0
10,7,5.0
10,44,5.0
10,175,5.0
10,261,5.0
10,757,5.0
11,422,5.0
11,443,4.0
11,668,1.0
11,734,4.0
11,750,5.0
11,754,5.0
12,102,5.0
12,103,5.0
12,104,5.0
12,145,5.0
12,233,5.0
12,268,5.0
12,312,5.0
12,549,5.0
13,374,5.0
13,623,5.0
13,643,4.0
13,646,5.0
13,647,4.0
13,654,5.0
13,666,4.0
13,828,5.0
13,864,4.0
13,976,5.0
14,430,5.0
14,441,5.0
14,448,5.0
14,625,5.0
14,626,5.0
14,675,4.0
14,686,5.0
14,688,5.0
14,772,3.0
14,776,1.0
14,778,5.0
14,1019,5.0
15,535,3.0
15,608,4.0
15,707,5.0
15,914,5.0
15,1167,5.0
16,383,2.0
16,466,4.0
16,494,1.0
16,540,5.0
16,559,5.0
16,822,5.0
16,868,5.0
16,933,4.0
16,955,5.0
16,961,5.0
16,1035,5.0
16,1144,5.0
17,428,3.0
17,491,4.0
17,594,4.0
17,682,4.0
17,742,3.0
17,775,4.0
17,821,4.0
18,580,5.0
18,656,5.0
18,792,5.0
18,1109,5.0
18,1157,5.0
19,408,5.0
19,455,4.0
19,496,5.0
19,554,1.0
19,570,5.0
19,677,5.0
19,680,5.0
19,681,5.0
19,682,5.0
19,690,5.0
19,692,5.0
19,710,5.0
19,715,5.0
19,781,5.0
19,786,5.0
19,812,5.0
19,1039,5.0
19,1059,5.0
19,1118,4.0
20,521,5.0
20,612,5.0
20,738,5.0
20,893,4.0
20,952,5.0
20,958,5.0
20,1116,1.0
20,1118,1.0
20,1119,1.0
20,1120,1.0
20,1126,5.0
20,1145,5.0
20,1163,5.0
20,1176,5.0
20,1185,5.0
20,1186,5.0
21,757,4.0
21,901,4.0
21,1076,5.0
21,1167,5.0
21,1168,5.0
22,58,5.0
22,62,5.0
22,107,5.0
22,119,3.0
22,122,5.0
22,151,5.0
23,367,3.0
23,488,4.0
23,502,3.0
23,510,5.0
23,563,5.0
23,566,4.0
23,611,5.0
23,715,5.0
23,758,5.0
23,821,3.0
23,898,5.0
23,984,2.0
23,1074,5.0
23,1159,5.0
24,602,1.0
24,791,3.0
24,870,3.0
24,937,3.0
24,1138,3.0
25,115,5.0
25,185,5.0
25,319,4.0
25,554,5.0
25,620,5.0
26,409,5.0
26,453,5.0
26,601,5.0
26,699,5.0
26,777,5.0
26,816,4.0
27,402,1.0
27,456,4.0
27,556,5.0
27,586,5.0
27,673,2.0
27,686,5.0
27,829,5.0
27,1037,5.0
27,1116,5.0
27,1119,5.0
27,1167,5.0
27,1169,2.0
27,1194,4.0
27,1195,5.0
28,439,5.0
28,453,4.0
28,463,5.0
28,593,4.0
28,619,5.0
28,744,5.0
29,374,5.0
29,569,4.0
29,620,5.0
29,669,5.0
29,780,4.0
29,1176,4.0
30,312,4.0
30,366,3.0
30,370,3.0
30,398,4.0
30,446,4.0
30,448,5.0
30,976,4.0
31,285,5.0
31,300,5.0
31,650,4.0
31,762,5.0
31,870,5.0
31,958,5.0
32,169,4.0
32,278,5.0
32,302,5.0
32,319,5.0
32,505,5.0
32,554,3.0
32,620,3.0
32,635,5.0
32,883,5.0
32,959,5.0
33,182,4.0
33,306,4.0
33,315,4.0
33,383,4.0
33,395,4.0
33,469,3.0
33,513,5.0
33,554,5.0
33,595,5.0
33,603,5.0
34,828,5.0
34,915,5.0
34,916,5.0
34,1014,4.0
34,1052,5.0
34,1085,5.0
34,1133,5.0
35,278,4.0
35,533,4.0
35,536,4.0
35,1009,5.0
35,1173,2.0
36,637,5.0
36,894,5.0
36,1058,5.0
36,1136,1.0
36,1159,5.0
37,311,1.0
37,436,1.0
37,466,1.0
37,481,3.0
37,538,5.0
37,572,4.0
37,573,1.0
37,583,5.0
37,623,1.0
38,296,5.0
38,351,3.0
38,424,3.0
38,456,5.0
38,968,3.0
39,409,1.0
39,840,5.0
39,883,1.0
39,998,1.0
39,1070,1.0
39,1086,1.0
39,1173,1.0
40,311,5.0
40,375,5.0
40,432,5.0
40,439,5.0
40,494,5.0
40,502,5.0
40,522,5.0
40,523,5.0
40,538,1.0
40,555,5.0
40,559,5.0
40,566,4.0
40,631,3.0
41,285,5.0
41,431,4.0
41,485,4.0
41,835,5.0
41,1178,1.0
42,64,5.0
42,73,5.0
42,108,4.0
42,129,5.0
42,137,5.0
42,138,5.0
42,147,5.0
42,151,3.0
42,159,5.0
42,161,5.0
43,65,5.0
43,102,4.0
43,104,5.0
43,106,5.0
43,115,5.0
43,116,5.0
43,118,5.0
43,126,5.0
43,127,5.0
43,130,5.0
44,198,4.0
44,614,5.0
44,834,5.0
44,933,5.0
44,941,5.0
44,1039,5.0
44,1177,4.0
45,777,5.0
45,810,5.0
45,822,5.0
45,1118,5.0
45,1120,5.0
45,1157,5.0
46,812,3.0
46,859,5.0
46,1116,5.0
46,1124,5.0
46,1144,3.0
46,1164,5.0
47,602,5.0
47,713,3.0
47,868,5.0
47,950,5.0
47,957,5.0
47,1039,4.0
47,1079,5.0
48,780,5.0
48,1007,5.0
48,1014,4.0
48,1059,4.0
48,1118,5.0
48,1121,5.0
49,575,5.0
49,823,5.0
49,824,2.0
49,895,5.0
49,1010,5.0
49,1031,4.0
50,292,4.0
50,297,4.0
50,298,5.0
50,324,5.0
50,355,5.0
50,605,4.0
50,974,5.0
50,1140,5.0
51,318,5.0
51,329,4.0
51,332,5.0
51,347,4.0
51,369,3.0
52,12,5.0
52,13,4.0
52,37,4.0
52,53,4.0
52,70,5.0
52,79,3.0
53,602,4.0
53,689,4.0
53,872,5.0
53,879,5.0
53,936,4.0
53,941,5.0
53,946,5.0
53,972,4.0
53,1005,5.0
53,1078,4.0
54,887,5.0
54,1037,5.0
54,1111,5.0
54,1115,5.0
54,1135,2.0
54,1195,5.0
55,19,5.0
55,109,4.0
55,205,1.0
55,237,5.0
55,274,5.0
56,30,5.0
56,65,4.0
56,225,3.0
56,233,4.0
56,298,3.0
56,314,3.0
56,514,3.0
57,587,5.0
57,753,4.0
57,796,4.0
57,930,5.0
57,936,5.0
57,941,5.0
57,1031,1.0
57,1116,5.0
57,1118,3.0
57,1153,1.0
58,311,1.0
58,620,1.0
58,687,5.0
58,702,1.0
58,768,3.0
58,775,1.0
58,777,1.0
58,869,1.0
58,870,1.0
59,0,4.0
59,2,5.0
59,5,5.0
59,26,3.0
59,46,4.0
59,62,4.0
59,73,3.0
60,422,4.0
60,495,2.0
60,556,5.0
60,579,4.0
60,586,4.0
60,759,4.0
61,783,2.0
61,874,1.0
61,947,1.0
